account_id,loan_amount,outstanding_amount,days_past_due,customer_location,income_band,payment_history,contact_attempts,last_channel,last_outcome,assigned_channel,recovery_amount
SFL100025,58989,46731,118,Tier 2,Low,Poor,18,Legal,No Response,Legal,0
SFL100026,119013,86956,149,Tier 2,Medium,Average,15,Call,No Response,Field,0
SFL100027,14496,11936,243,Tier 2,Low,Average,8,Field,Promised,Field,9233
SFL100028,463350,318654,771,Tier 1,Medium,Poor,9,Field,No Response,Legal,0
SFL100029,111154,71027,143,Tier 2,High,Average,19,Call,Refused,Field,0
SFL100030,57908,40359,650,Tier 1,Medium,Average,18,Call,Promised,Call,0
SFL100031,219845,147819,100,Tier 3,Medium,Poor,5,Call,No Response,Field,0
SFL100032,255228,149331,132,Tier 1,Low,Average,1,Call,No Response,Legal,0
SFL100033,16588,14230,10,Tier 2,Low,Poor,3,Call,No Response,Call,0
SFL100034,614743,572026,16,Tier 2,Low,Good,3,Field,Promised,Call,414866
SFL100035,66371,46082,338,Tier 3,High,Average,5,Call,Promised,Field,0
SFL100036,92113,41920,296,Tier 3,Medium,Poor,4,Field,Refused,Field,7670
SFL100037,59083,50353,299,Tier 3,Medium,Average,7,Field,Paid,Field,0
SFL100038,965644,904834,327,Tier 1,Medium,Average,18,Call,Promised,Call,282831
SFL100039,42471,20943,82,Tier 1,Low,Poor,3,Call,No Response,Call,0
SFL100040,27501,18370,10,Tier 2,Medium,Poor,6,Call,Refused,Call,0
SFL100041,155726,98717,155,Tier 2,Medium,Average,5,Field,Refused,Field,0
SFL100042,71226,58959,252,Tier 2,Medium,Poor,6,Field,No Response,Legal,0
SFL100043,600406,410140,191,Tier 3,High,Average,18,Call,Refused,Field,214306
SFL100044,69666,42227,24,Tier 3,Low,Poor,16,Field,No Response,Call,0
SFL100045,93822,66961,253,Tier 2,Low,Poor,15,Call,Refused,Call,0
SFL100046,44810,25814,22,Tier 3,Medium,Average,8,Call,No Response,Call,15040
SFL100047,71946,38241,171,Tier 2,High,Poor,4,Call,No Response,Call,0
SFL100048,10530,7152,335,Tier 3,Medium,Average,4,Field,No Response,Call,4572
SFL100049,61682,36722,106,Tier 2,Low,Poor,6,Field,No Response,Field,0
SFL100050,17547,10770,771,Tier 3,Low,Poor,5,Field,No Response,Legal,0
SFL100051,54226,24763,263,Tier 2,Medium,Poor,3,Call,Refused,Call,0
SFL100052,278763,168356,318,Tier 3,High,Poor,2,Call,No Response,Legal,0
SFL100053,54936,30001,135,Tier 3,High,Poor,20,Call,No Response,Legal,0
SFL100054,64382,52320,239,Tier 3,Medium,Average,1,Field,Promised,Field,0
SFL100055,83274,34704,314,Tier 2,Medium,Average,1,Field,Refused,Field,0
SFL100056,413781,400976,144,Tier 3,Low,Good,4,Field,Promised,Field,0
SFL100057,312878,199841,179,Tier 3,Low,Poor,5,Field,No Response,Call,0
SFL100058,64511,23043,213,Tier 2,Low,Good,11,Field,Promised,Call,0
SFL100059,17092,9137,251,Tier 3,High,Poor,20,Field,No Response,Call,0
SFL100060,32270,17270,6,Tier 3,High,Good,4,Call,Promised,Field,0
SFL100061,102583,41468,96,Tier 2,Medium,Average,4,Call,No Response,Field,0
SFL100062,35903,34452,257,Tier 3,Low,Good,2,Call,Paid,Field,24066
SFL100063,303705,94925,327,Tier 3,Low,Good,5,Field,Promised,Field,68141
SFL100064,15154,8564,236,Tier 1,Medium,Average,5,Call,Promised,Field,0
SFL100065,167876,157361,324,Tier 3,Medium,Poor,6,Call,No Response,Field,0
SFL100066,14862,7549,15,Tier 3,High,Average,10,Field,Refused,Field,0
SFL100067,243573,171805,295,Tier 3,High,Good,7,Legal,Promised,Call,0
SFL100068,60755,32000,20,Tier 1,Medium,Average,3,Field,Refused,Call,0
SFL100069,142608,99637,276,Tier 2,High,Poor,6,Call,No Response,Legal,0
SFL100070,175667,79364,99,Tier 2,Medium,Average,5,Call,Refused,Field,25304
SFL100071,54326,42490,126,Tier 2,High,Average,10,Field,No Response,Field,14438
SFL100072,206074,69027,321,Tier 2,Low,Good,1,Call,Refused,Field,0
SFL100073,11747,6790,760,Tier 2,Low,Poor,3,Call,Refused,Call,0
SFL100074,10344,9381,46,Tier 2,Low,Good,2,Legal,Promised,Field,5825
SFL100075,38130,11479,286,Tier 1,High,Good,17,Call,Promised,Call,0
SFL100076,14427,7661,72,Tier 2,Low,Poor,10,Call,Refused,Call,0
SFL100077,23072,20614,772,Tier 2,Low,Poor,11,Call,Promised,Legal,0
SFL100078,277714,146398,741,Tier 2,High,Poor,5,Call,No Response,Legal,0
SFL100079,162370,123749,95,Tier 3,High,Good,9,Field,Refused,Field,0
SFL100080,93245,35860,172,Tier 2,Medium,Poor,10,Call,No Response,Field,0
SFL100081,58213,24720,210,Tier 3,Low,Average,3,Call,Promised,Legal,0
SFL100082,685113,512090,662,Tier 3,Medium,Poor,4,Legal,Refused,Legal,0
SFL100083,47504,25993,26,Tier 2,Medium,Average,13,Field,No Response,Call,0
SFL100084,170402,138778,154,Tier 2,Low,Poor,5,Field,No Response,Call,0
SFL100085,338494,246918,710,Tier 2,High,Good,9,Call,No Response,Call,0
SFL100086,287910,143748,97,Tier 2,Low,Good,3,Call,Promised,Field,91098
SFL100087,16344,5457,619,Tier 3,High,Poor,5,Call,No Response,Legal,3125
SFL100088,201212,89368,252,Tier 3,Medium,Average,13,Field,No Response,Field,0
SFL100089,177056,96122,309,Tier 1,High,Poor,4,Legal,No Response,Call,38567
SFL100090,12638,4175,132,Tier 2,Medium,Average,17,Field,Promised,Field,0
SFL100091,232177,143527,477,Tier 2,Medium,Poor,6,Legal,Refused,Field,0
SFL100092,164398,107062,24,Tier 3,Low,Good,8,Call,No Response,Legal,0
SFL100093,19049,12335,174,Tier 1,High,Average,6,Legal,Promised,Call,0
SFL100094,1158635,571940,152,Tier 3,Medium,Average,10,Legal,Refused,Field,0
SFL100095,256595,235833,234,Tier 1,Medium,Average,1,Legal,Promised,Call,101692
SFL100096,147073,44632,110,Tier 1,High,Average,4,Field,Refused,Call,0
SFL100097,64893,27111,555,Tier 3,High,Poor,5,Legal,No Response,Legal,0
SFL100098,176089,148250,345,Tier 1,Low,Average,20,Legal,Refused,Call,64434
SFL100099,19215,11911,123,Tier 1,Low,Average,9,Call,Paid,Call,6572
SFL100100,1087734,887366,255,Tier 1,Low,Good,9,Legal,No Response,Field,0
SFL100101,117924,76897,17,Tier 2,Medium,Average,4,Field,No Response,Field,0
SFL100102,13646,8239,148,Tier 2,Low,Good,2,Call,No Response,Field,6805
SFL100103,845003,271468,107,Tier 3,Medium,Poor,2,Field,Promised,Legal,0
SFL100104,74141,33304,256,Tier 2,Medium,Poor,5,Legal,Refused,Call,0
SFL100105,60204,55826,31,Tier 1,Medium,Poor,4,Call,Refused,Field,33314
SFL100106,70056,55352,66,Tier 3,High,Average,9,Field,No Response,Field,0
SFL100107,99581,94745,314,Tier 2,Low,Average,5,Field,Refused,Field,0
SFL100108,145304,81405,445,Tier 3,Low,Poor,9,Field,Refused,Legal,0
SFL100109,188780,117269,88,Tier 1,Medium,Poor,17,Call,Refused,Call,0
SFL100110,27141,14682,205,Tier 2,Low,Average,1,Call,No Response,Call,5300
SFL100111,203834,129339,865,Tier 2,Medium,Good,4,Legal,Promised,Field,119425
SFL100112,1050675,349354,1,Tier 1,Low,Average,1,Call,Promised,Call,0
SFL100113,225308,70180,74,Tier 1,Low,Average,9,Call,Refused,Call,31484
SFL100114,64267,55788,173,Tier 2,Medium,Poor,18,Field,No Response,Legal,0
SFL100115,394619,179135,178,Tier 3,Medium,Average,13,Call,Refused,Field,0
SFL100116,15042,7529,162,Tier 3,Medium,Poor,1,Call,Promised,Field,0
SFL100117,246116,78720,147,Tier 3,Medium,Poor,5,Call,Promised,Call,0
SFL100118,155886,124018,370,Tier 2,Medium,Good,10,Call,Paid,Legal,0
SFL100119,245095,215363,279,Tier 2,High,Average,3,Call,No Response,Field,106556
SFL100120,115329,62503,170,Tier 1,Low,Average,5,Field,Refused,Legal,0
SFL100121,72080,55202,112,Tier 2,Medium,Average,10,Call,Paid,Field,37383
SFL100122,317023,295400,357,Tier 3,Low,Average,8,Field,No Response,Field,0
SFL100123,285138,187628,319,Tier 2,High,Average,7,Call,No Response,Field,0
SFL100124,284515,269653,80,Tier 1,Medium,Average,6,Call,No Response,Field,242254
SFL100125,229892,133039,108,Tier 3,Medium,Average,1,Call,No Response,Field,36792
SFL100126,1126460,522026,801,Tier 1,Low,Average,3,Field,Promised,Call,0
SFL100127,59304,45754,163,Tier 1,Low,Poor,6,Call,Promised,Call,0
SFL100128,54144,41854,331,Tier 2,Low,Good,6,Field,Promised,Field,32173
SFL100129,531650,357158,687,Tier 2,High,Poor,17,Call,No Response,Call,0
SFL100130,118344,80334,118,Tier 2,Low,Average,3,Field,Refused,Field,0
SFL100131,57119,34027,103,Tier 3,Medium,Average,1,Field,No Response,Field,21481
SFL100132,183498,154073,158,Tier 3,Low,Average,13,Field,Refused,Legal,0
SFL100133,611806,243488,121,Tier 2,Low,Average,4,Call,Refused,Field,0
SFL100134,10162,8965,731,Tier 3,Low,Poor,16,Call,No Response,Call,0
SFL100135,100381,33204,492,Tier 1,Medium,Poor,2,Legal,No Response,Call,0
SFL100136,523566,175236,239,Tier 3,Low,Average,8,Call,No Response,Legal,0
SFL100137,14641,6638,103,Tier 2,Low,Poor,6,Call,No Response,Call,0
SFL100138,154364,141448,453,Tier 1,Low,Poor,5,Field,No Response,Field,0
SFL100139,378128,328248,232,Tier 1,Low,Poor,5,Field,Promised,Legal,92090
SFL100140,35351,30994,319,Tier 3,Medium,Good,1,Call,No Response,Field,0
SFL100141,292807,170939,171,Tier 2,Medium,Average,9,Field,No Response,Call,0
SFL100142,600230,203356,209,Tier 1,Medium,Poor,7,Call,Refused,Call,0
SFL100143,162537,89258,124,Tier 2,Medium,Average,6,Call,No Response,Call,24281
SFL100144,135469,61372,17,Tier 2,High,Good,6,Call,No Response,Field,28290
SFL100145,102616,43115,435,Tier 3,Medium,Average,6,Call,No Response,Field,0
SFL100146,1160144,951137,24,Tier 2,Low,Average,9,Call,No Response,Field,844782
SFL100147,72992,24827,409,Tier 3,Medium,Poor,2,Call,Refused,Legal,0
SFL100148,73191,28367,130,Tier 1,Low,Average,3,Call,Promised,Call,0
SFL100149,30205,18438,220,Tier 2,Low,Poor,14,Call,Paid,Call,0
SFL100150,72396,41334,160,Tier 3,Low,Good,4,Field,No Response,Call,0
SFL100151,14225,6152,58,Tier 3,Low,Poor,2,Field,Promised,Call,1476
SFL100152,386333,274857,172,Tier 2,Low,Average,5,Legal,No Response,Field,0
SFL100153,326493,217061,162,Tier 1,Low,Average,4,Field,Promised,Call,80054
SFL100154,104313,84693,66,Tier 2,High,Poor,9,Call,Promised,Legal,0
SFL100155,237033,98990,2,Tier 2,Low,Average,1,Call,No Response,Field,56267
SFL100156,14753,8119,165,Tier 1,Low,Poor,9,Call,Refused,Field,0
SFL100157,166935,92401,212,Tier 3,High,Average,4,Field,No Response,Call,0
SFL100158,15099,6937,171,Tier 1,Low,Good,4,Field,Refused,Legal,0
SFL100159,45784,25249,60,Tier 1,High,Average,5,Legal,Promised,Call,0
SFL100160,704367,491648,151,Tier 2,Medium,Average,14,Call,No Response,Call,0
SFL100161,16285,5427,152,Tier 2,Low,Poor,3,Call,No Response,Call,0
SFL100162,36048,22189,72,Tier 3,Low,Average,5,Call,Paid,Field,9778
SFL100163,194283,130347,287,Tier 1,Low,Average,12,Call,Refused,Call,0
SFL100164,12796,7469,340,Tier 1,High,Poor,4,Call,No Response,Call,0
SFL100165,348973,287459,467,Tier 2,Low,Average,5,Call,No Response,Legal,0
SFL100166,49888,37723,13,Tier 2,Low,Average,15,Field,No Response,Call,0
SFL100167,243228,116874,172,Tier 3,Low,Average,7,Call,No Response,Field,0
SFL100168,90178,37550,29,Tier 1,Low,Average,10,Call,No Response,Call,0
SFL100169,258375,137106,123,Tier 2,Low,Average,4,Call,Paid,Field,114903
SFL100170,79438,35741,129,Tier 2,Low,Average,2,Call,No Response,Call,0
SFL100171,231488,175597,697,Tier 1,Medium,Poor,8,Legal,Refused,Field,0
SFL100172,88346,65298,283,Tier 2,High,Poor,8,Call,Refused,Call,0
SFL100173,53097,47110,300,Tier 3,Medium,Poor,5,Field,No Response,Field,0
SFL100174,29270,17876,96,Tier 1,Low,Poor,11,Call,Refused,Call,0
SFL100175,829799,328567,113,Tier 3,Low,Good,8,Call,No Response,Call,0
SFL100176,38116,36087,316,Tier 3,High,Poor,7,Call,No Response,Call,10529
SFL100177,162567,55881,296,Tier 2,High,Poor,2,Legal,Refused,Call,0
SFL100178,571450,452492,211,Tier 3,Low,Poor,20,Field,No Response,Call,0
SFL100179,34920,13368,219,Tier 2,Low,Poor,9,Call,Refused,Call,0
SFL100180,17471,14427,231,Tier 3,Low,Average,10,Call,Promised,Field,4001
SFL100181,334053,133597,468,Tier 2,Medium,Poor,7,Field,Refused,Legal,0
SFL100182,17595,6398,182,Tier 1,Low,Average,7,Call,Promised,Legal,0
SFL100183,65749,40792,208,Tier 1,High,Good,10,Call,Promised,Call,34356
SFL100184,487003,303726,16,Tier 2,Low,Poor,6,Field,No Response,Call,0
SFL100185,276787,110604,193,Tier 1,High,Poor,4,Legal,Promised,Call,0
SFL100186,25400,8962,455,Tier 2,Low,Average,4,Call,Paid,Legal,0
SFL100187,234698,210377,832,Tier 2,Low,Average,10,Call,No Response,Legal,0
SFL100188,1188770,589189,411,Tier 2,High,Poor,2,Call,Refused,Legal,0
SFL100189,32146,11965,352,Tier 2,Medium,Poor,7,Call,No Response,Field,0
SFL100190,167906,128199,206,Tier 2,Low,Poor,6,Call,No Response,Field,51441
SFL100191,887180,443831,65,Tier 2,Low,Average,4,Field,No Response,Field,0
SFL100192,1094619,634562,253,Tier 2,Low,Good,8,Call,Promised,Field,0
SFL100193,229739,100323,295,Tier 2,Medium,Average,6,Field,No Response,Call,0
SFL100194,61649,58801,65,Tier 3,High,Average,6,Field,No Response,Call,39859
SFL100195,21389,16951,95,Tier 1,Medium,Average,2,Call,Paid,Legal,0
SFL100196,332190,275465,99,Tier 3,Medium,Poor,5,Legal,No Response,Call,0
SFL100197,998315,654330,182,Tier 2,High,Average,4,Field,Paid,Field,142182
SFL100198,271587,175061,668,Tier 1,Medium,Poor,1,Field,Promised,Field,0
SFL100199,1127389,923770,21,Tier 3,Low,Good,20,Legal,Promised,Field,608027
SFL100200,17753,11687,196,Tier 1,High,Good,7,Call,Promised,Call,6640
SFL100201,62263,54115,747,Tier 1,High,Good,4,Call,Paid,Call,0
SFL100202,499376,203665,69,Tier 3,High,Poor,7,Call,Promised,Field,0
SFL100203,53994,39911,169,Tier 2,Medium,Average,16,Call,Promised,Field,0
SFL100204,33559,13088,151,Tier 2,Medium,Good,13,Call,No Response,Field,0
SFL100205,1012309,324850,582,Tier 2,Medium,Poor,6,Legal,No Response,Call,0
SFL100206,33846,21541,355,Tier 1,Low,Average,18,Call,No Response,Call,0
SFL100207,53816,23600,830,Tier 1,Medium,Good,9,Call,Promised,Legal,0
SFL100208,431619,278897,118,Tier 3,Medium,Average,3,Call,No Response,Field,126495
SFL100209,137040,101813,132,Tier 2,Low,Good,2,Field,Paid,Field,58383
SFL100210,70453,29634,384,Tier 3,High,Poor,1,Field,No Response,Field,0
SFL100211,213686,88118,51,Tier 2,Low,Average,10,Call,Refused,Legal,0
SFL100212,123859,77177,366,Tier 3,Medium,Average,14,Call,No Response,Legal,0
SFL100213,1080551,741259,603,Tier 1,Medium,Average,7,Call,Paid,Field,0
SFL100214,20143,11793,317,Tier 2,High,Average,5,Call,Promised,Field,8183
SFL100215,137436,110091,80,Tier 2,Low,Average,6,Field,Refused,Call,0
SFL100216,27241,12220,278,Tier 2,Medium,Average,1,Field,Refused,Field,6012
SFL100217,196463,139916,365,Tier 1,Low,Average,3,Call,No Response,Legal,0
SFL100218,257503,137200,118,Tier 2,Low,Good,4,Legal,No Response,Legal,0
SFL100219,307139,290940,266,Tier 3,High,Average,10,Call,Promised,Call,227668
SFL100220,16095,9130,133,Tier 2,High,Average,8,Call,Promised,Field,7162
SFL100221,723322,292596,353,Tier 3,Medium,Good,18,Legal,Promised,Field,258108
SFL100222,283604,127282,96,Tier 2,Medium,Average,10,Call,No Response,Field,77223
SFL100223,50159,44011,123,Tier 2,Low,Average,16,Call,Promised,Field,0
SFL100224,16545,12954,45,Tier 3,Medium,Average,1,Legal,No Response,Field,7003
SFL100225,66262,45088,36,Tier 1,High,Good,5,Call,No Response,Call,20099
SFL100226,179312,123096,158,Tier 2,Medium,Poor,9,Call,Promised,Field,0
SFL100227,287218,249525,110,Tier 2,Medium,Average,10,Call,No Response,Field,0
SFL100228,25376,18868,100,Tier 1,High,Average,10,Call,Promised,Call,15469
SFL100229,26213,20818,15,Tier 2,High,Average,5,Legal,No Response,Field,13360
SFL100230,303054,197203,129,Tier 3,Medium,Average,2,Field,Refused,Field,0
SFL100231,70429,44342,182,Tier 2,Medium,Average,5,Field,No Response,Call,28278
SFL100232,217536,106752,557,Tier 1,Low,Poor,5,Call,Promised,Call,0
SFL100233,18194,14176,24,Tier 1,Medium,Poor,5,Field,Refused,Call,0
SFL100234,40811,17209,83,Tier 3,Low,Poor,4,Field,No Response,Legal,0
SFL100235,238636,221279,70,Tier 2,Low,Average,6,Call,Paid,Field,81909
SFL100236,959304,791357,219,Tier 1,Medium,Poor,6,Call,No Response,Call,0
SFL100237,46592,38594,229,Tier 2,Low,Poor,6,Field,Promised,Call,0
SFL100238,219350,193320,160,Tier 2,High,Average,13,Field,Promised,Call,169544
SFL100239,549093,357529,160,Tier 2,Low,Average,13,Call,No Response,Field,0
SFL100240,1039881,653294,165,Tier 2,Low,Poor,6,Field,No Response,Field,0
SFL100241,1182832,916282,315,Tier 3,Low,Average,4,Call,No Response,Field,0
SFL100242,59099,39830,327,Tier 3,Medium,Good,6,Call,Refused,Field,10259
SFL100243,690425,597944,290,Tier 2,Low,Poor,5,Call,Refused,Legal,0
SFL100244,233252,71002,647,Tier 2,Medium,Average,1,Call,Refused,Legal,0
SFL100245,47387,26909,76,Tier 3,Medium,Average,9,Call,Paid,Field,11936
SFL100246,786755,726383,347,Tier 2,Low,Average,6,Call,Paid,Call,0
SFL100247,339624,122385,140,Tier 2,Medium,Average,4,Field,No Response,Field,58344
SFL100248,349857,162678,47,Tier 2,Low,Average,2,Call,Refused,Field,0
SFL100249,594832,258032,39,Tier 2,Low,Poor,4,Call,No Response,Field,96301
SFL100250,328245,235495,179,Tier 3,Medium,Average,5,Call,Refused,Field,0
SFL100251,263859,231950,601,Tier 2,Medium,Poor,2,Legal,No Response,Call,0
SFL100252,42108,23731,134,Tier 2,High,Poor,17,Field,Paid,Field,4173
SFL100253,1038843,407190,156,Tier 2,Medium,Average,3,Field,No Response,Call,277692
SFL100254,491823,289262,173,Tier 2,High,Good,16,Call,Promised,Field,0
SFL100255,1124206,543490,25,Tier 3,Medium,Average,8,Call,No Response,Field,338756
SFL100256,271063,114731,61,Tier 1,Medium,Good,8,Call,Refused,Legal,0
SFL100257,245339,216080,283,Tier 3,Medium,Average,3,Call,Refused,Call,0
SFL100258,391159,263508,170,Tier 2,Low,Poor,10,Call,No Response,Call,0
SFL100259,337489,126837,179,Tier 2,Low,Average,4,Field,Refused,Field,19924
SFL100260,33785,12066,155,Tier 2,Medium,Poor,13,Call,Refused,Call,0
SFL100261,308968,152470,231,Tier 1,Medium,Poor,3,Field,No Response,Call,0
SFL100262,67813,45212,70,Tier 1,Low,Good,16,Call,Promised,Call,0
SFL100263,168019,159184,189,Tier 2,High,Poor,6,Call,Refused,Call,0
SFL100264,23700,16829,170,Tier 2,High,Poor,5,Legal,No Response,Call,0
SFL100265,335960,211647,662,Tier 1,Low,Poor,20,Call,No Response,Field,42455
SFL100266,61786,21344,62,Tier 2,Low,Average,16,Legal,No Response,Field,6297
SFL100267,40187,36075,788,Tier 1,Medium,Average,7,Call,Refused,Call,0
SFL100268,705628,676715,64,Tier 1,Medium,Average,6,Call,Promised,Call,0
SFL100269,29812,12439,94,Tier 1,Medium,Average,5,Call,No Response,Call,0
SFL100270,144583,63252,59,Tier 2,Low,Poor,1,Field,Refused,Call,0
SFL100271,185020,95283,316,Tier 2,Low,Good,4,Call,Paid,Field,55801
SFL100272,68474,36083,847,Tier 1,Low,Good,4,Call,Paid,Field,34690
SFL100273,144099,52200,179,Tier 2,Medium,Average,4,Call,Promised,Call,0
SFL100274,41949,13435,837,Tier 2,Low,Average,4,Field,No Response,Field,0
SFL100275,158373,150851,233,Tier 2,Medium,Average,20,Call,No Response,Field,77183
SFL100276,36594,12685,166,Tier 2,Low,Poor,7,Call,No Response,Field,0
SFL100277,67502,34569,257,Tier 3,High,Average,13,Call,Refused,Call,0
SFL100278,465028,407846,290,Tier 3,Low,Average,1,Call,Refused,Field,0
SFL100279,67195,50325,30,Tier 3,Medium,Poor,17,Legal,No Response,Legal,0
SFL100280,297364,199196,135,Tier 1,Medium,Poor,17,Call,Paid,Call,0
SFL100281,48028,29904,108,Tier 1,High,Good,7,Call,Paid,Call,21963
SFL100282,321013,219752,56,Tier 2,Medium,Average,7,Call,No Response,Field,0
SFL100283,41769,14840,244,Tier 1,Low,Poor,4,Call,Refused,Call,0
SFL100284,92349,48918,219,Tier 2,Low,Poor,8,Field,Promised,Call,0
SFL100285,40409,22918,239,Tier 2,Low,Average,4,Call,No Response,Call,0
SFL100286,65328,38498,124,Tier 1,Medium,Average,8,Call,No Response,Legal,0
SFL100287,10555,9048,314,Tier 2,Medium,Average,11,Field,Refused,Field,0
SFL100288,66127,46629,554,Tier 2,Low,Average,10,Field,No Response,Field,0
SFL100289,14088,7840,123,Tier 2,High,Average,1,Field,Promised,Legal,0
SFL100290,14778,5131,46,Tier 2,High,Poor,9,Call,Refused,Call,0
SFL100291,1168872,986791,758,Tier 3,Medium,Average,2,Legal,No Response,Legal,0
SFL100292,65127,39595,172,Tier 3,Medium,Average,2,Field,No Response,Field,27868
SFL100293,331499,185797,172,Tier 3,Medium,Poor,7,Call,Promised,Field,0
SFL100294,153095,121941,99,Tier 1,High,Average,1,Call,Promised,Call,74839
SFL100295,461497,173754,236,Tier 2,High,Poor,12,Call,Promised,Field,0
SFL100296,165937,87082,286,Tier 2,Medium,Poor,4,Call,Refused,Call,49033
SFL100297,223758,129527,80,Tier 2,Medium,Average,1,Call,Refused,Field,13249
SFL100298,17700,17010,69,Tier 3,Medium,Average,4,Call,Refused,Field,3484
SFL100299,50423,42328,418,Tier 1,Medium,Average,8,Call,Promised,Call,0
SFL100300,16426,7537,14,Tier 2,Low,Average,6,Call,No Response,Legal,0
SFL100301,55364,37703,104,Tier 3,Low,Average,20,Field,Paid,Call,0
SFL100302,317622,154696,121,Tier 1,High,Poor,3,Call,Refused,Call,0
SFL100303,126380,76224,781,Tier 1,Low,Poor,1,Call,No Response,Legal,0
SFL100304,56080,32055,340,Tier 1,Medium,Average,5,Call,Refused,Call,0
SFL100305,117446,84057,737,Tier 1,Low,Average,8,Call,No Response,Legal,0
SFL100306,325869,258755,179,Tier 3,Medium,Average,4,Call,Refused,Field,0
SFL100307,656462,395732,81,Tier 3,Low,Average,1,Call,Promised,Field,342891
SFL100308,37298,35419,106,Tier 3,Low,Average,9,Field,No Response,Field,0
SFL100309,308443,187183,38,Tier 2,Low,Poor,18,Field,Promised,Call,0
SFL100310,56406,43106,80,Tier 3,Medium,Average,8,Field,Refused,Field,0
SFL100311,909566,456643,834,Tier 1,High,Average,18,Legal,No Response,Field,0
SFL100312,705137,537123,95,Tier 2,High,Average,7,Field,Promised,Call,309860
SFL100313,54011,50857,305,Tier 2,Low,Poor,4,Call,No Response,Call,0
SFL100314,188087,148149,77,Tier 3,High,Poor,2,Call,Refused,Legal,85933
SFL100315,121373,36950,124,Tier 3,Medium,Good,5,Field,Promised,Call,0
SFL100316,61853,18657,49,Tier 2,Low,Good,3,Call,Refused,Field,0
SFL100317,303626,267735,150,Tier 3,Low,Average,4,Field,Promised,Field,172789
SFL100318,401082,198216,311,Tier 1,Low,Poor,5,Field,No Response,Call,0
SFL100319,18975,12280,713,Tier 1,Low,Average,6,Call,Refused,Call,0
SFL100320,63545,37879,20,Tier 3,Low,Poor,1,Call,Promised,Field,0
SFL100321,60770,37948,207,Tier 2,Low,Good,7,Field,No Response,Call,0
SFL100322,33038,10559,125,Tier 3,Medium,Average,7,Field,No Response,Legal,0
SFL100323,77270,73584,117,Tier 2,Medium,Poor,1,Call,Promised,Legal,11417
SFL100324,59956,32498,95,Tier 2,Medium,Poor,5,Legal,No Response,Legal,0
SFL100325,1062121,580115,152,Tier 2,Medium,Good,2,Legal,Promised,Legal,533157
SFL100326,221024,179566,165,Tier 2,High,Poor,3,Call,No Response,Field,26899
SFL100327,14471,9171,41,Tier 2,Low,Good,5,Call,Promised,Field,7064
SFL100328,60067,19292,105,Tier 2,Medium,Good,6,Call,No Response,Field,12974
SFL100329,321321,198853,154,Tier 2,Low,Poor,7,Call,No Response,Field,0
SFL100330,253917,140920,14,Tier 1,Low,Average,1,Call,No Response,Call,0
SFL100331,43735,39534,387,Tier 2,Low,Average,4,Field,No Response,Legal,0
SFL100332,561560,355444,99,Tier 1,High,Average,1,Call,Paid,Call,269056
SFL100333,233255,148842,57,Tier 2,Medium,Average,19,Call,Promised,Field,127411
SFL100334,302397,280082,97,Tier 1,Low,Poor,16,Legal,No Response,Field,0
SFL100335,20524,9684,45,Tier 1,Medium,Average,10,Call,Promised,Call,7384
